STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|104|08|03|10158|520511716
201601|65|104|08|04|9880|492752925
201601|65|104|08|05|9709|479010287
201601|65|104|08|06|13264|663762752
201601|65|104|08|07|11711|561297482
201601|65|104|11|01|1226|25983325
201601|65|104|11|02|1053|17950977
201601|65|104|11|03|1172|18244530
201601|65|104|11|04|1037|18130735
201601|65|104|11|05|1060|17081854
201601|65|104|11|06|1660|30833090
201601|65|104|11|07|1328|31147342
201601|65|104|13|01|44303|4173375518
201601|65|104|13|02|19053|1660107826
201601|65|104|13|03|18177|1629133801
201601|65|104|13|04|19939|1961472426
201601|65|104|13|05|20546|2225957951
201601|65|104|13|06|30842|2985367254
201601|65|104|13|07|38361|3979270616
201601|65|104|15|01|7672|53638158
201601|65|104|15|02|5781|41577016
201601|65|104|15|03|6199|41514004
201601|65|104|15|04|6156|42382442
201601|65|104|15|05|6284|43424861
201601|65|104|15|06|10390|71946040
201601|65|104|15|07|11019|75601225
201601|65|104|16|06|6|937798
201601|65|104|24|01|281|1063426
201601|65|104|24|02|121|1824356
201601|65|104|24|03|105|649709
201601|65|104|24|04|114|5119709
201601|65|104|24|05|136|866816
201601|65|104|24|06|255|1729158
201601|65|104|24|07|397|1679241
201601|65|104|30|01|2605|101227690
201601|65|104|30|02|987|63093615
201601|65|104|30|03|1079|52501084
201601|65|104|30|04|1104|41464597
201601|65|104|30|05|1082|43287280
201601|65|104|30|06|1960|72521731
201601|65|104|30|07|2762|163143613
201601|65|104|33|01|4|57919
201601|65|104|33|02|4|846509
201601|65|104|33|03|4|1617278
201601|65|104|33|04|9|445467
201601|65|104|33|05|16|2791252
201601|65|104|33|06|23|9705784
201601|65|104|33|07|6|289614
201601|65|104|35|01|74|12342819
201601|65|104|35|02|38|8059973
201601|65|104|35|03|30|2806846
201601|65|104|35|04|67|18063197
201601|65|104|35|05|37|7548666
201601|65|104|35|06|90|12122419
201601|65|104|35|07|78|10928201
201601|65|104|36|04|4|1113828
201601|65|106|01|01|757|37671688
201601|65|106|01|02|381|22400349
201601|65|106|01|03|343|16974007
201601|65|106|01|04|348|18020964
201601|65|106|01|05|388|23055797
201601|65|106|01|06|597|32998600
201601|65|106|01|07|754|40756800
201601|65|106|02|02|6|1213621
201601|65|106|02|03|13|7840920
201601|65|106|02|04|4|311872
201601|65|106|02|05|8|1581635
201601|65|106|02|06|9|1960053
201601|65|106|02|07|4|668297
201601|65|106|03|01|677|115776043
201601|65|106|03|02|200|20461456
201601|65|106|03|03|206|15503446
201601|65|106|03|04|284|22760836
201601|65|106|03|05|297|33677936
201601|65|106|03|06|329|33834636
201601|65|106|03|07|463|64002402
201601|65|106|04|01|991|66171653
201601|65|106|04|02|956|160716245
201601|65|106|04|03|939|123728706
201601|65|106|04|04|887|103231437
201601|65|106|04|05|1086|163748641
201601|65|106|04|06|1302|212126060
201601|65|106|04|07|1451|155566677
201601|65|106|05|01|478|31231529
201601|65|106|05|02|383|41912002
201601|65|106|05|03|573|62573626
201601|65|106|05|04|479|59088767
201601|65|106|05|05|649|67437991
201601|65|106|05|06|842|95813068
201601|65|106|05|07|735|99888368
201601|65|106|06|01|112|3724267
201601|65|106|06|02|221|12988428
201601|65|106|06|03|195|11822906
201601|65|106|06|04|243|12604556
201601|65|106|06|05|204|13967961
201601|65|106|06|06|225|10739348
201601|65|106|06|07|313|16253661
201601|65|106|07|01|4|8019558
201601|65|106|07|02|4|1292040
201601|65|106|07|03|6|441317
201601|65|106|07|05|8|1421244
201601|65|106|07|06|12|2268644
201601|65|106|08|01|5948|201952148
201601|65|106|08|02|6876|278827903
201601|65|106|08|03|7108|245734437
201601|65|106|08|04|6947|241605161
201601|65|106|08|05|7162|237519583
201601|65|106|08|06|8559|293156692
201601|65|106|08|07|7554|252944077
201601|65|106|11|01|447|7635101
201601|65|106|11|02|2082|30031584
201601|65|106|11|03|2059|20354908
201601|65|106|11|04|1866|27583374
201601|65|106|11|05|1958|24385787
201601|65|106|11|06|1993|32789519
201601|65|106|11|07|1190|21548448
201601|65|106|12|01|12|467807
201601|65|106|12|02|4|178212
201601|65|106|12|03|12|14702523
201601|65|106|12|04|12|5836456
201601|65|106|12|05|4|178212
201601|65|106|12|06|4|445531
201601|65|106|12|07|32|2637137
201601|65|106|13|01|93488|4481267329
201601|65|106|13|02|72548|2759519661
201601|65|106|13|03|69175|2532298546
201601|65|106|13|04|95002|4401928779
201601|65|106|13|05|78508|3216560833
201601|65|106|13|06|101331|4240117730
201601|65|106|13|07|120170|5662079709
201601|65|106|15|01|31004|177450066
201601|65|106|15|02|27072|138873310
201601|65|106|15|03|27089|143780212
201601|65|106|15|04|27564|142280292
201601|65|106|15|05|28500|155443311
201601|65|106|15|06|36697|203397534
201601|65|106|15|07|34155|183396918
201601|65|106|16|01|2223|100496824
201601|65|106|16|02|1555|75444214
201601|65|106|16|03|1646|89987458
201601|65|106|16|04|1534|73870553
201601|65|106|16|05|1863|92010206
201601|65|106|16|06|1975|119940386
201601|65|106|16|07|2838|158969380
